neighbourhood_id,total_traffic_volume,total_median_income,labor_force_amount
1,853529,33600,18405
2,212521,29600,14360
3,89635,32800,4990
4,101721,33600,5305
5,64063,34400,4425
6,147353,34400,10525
7,290052,40800,11040
8,280978,40400,4995
9,241477,48400,8105
10,95048,58800,5880
11,38446,44400,9770
12,46054,46800,5215
13,21105,39200,6495
15,198351,74500,4595
16,608588,48400,14045
18,78538,37600,6190
19,70299,46000,6770
20,156422,45200,6940
21,137953,31200,5770
22,159760,32400,8220
23,64343,39600,5970
24,62531,29400,9045
25,15343,30400,13575
27,808770,32400,14995
28,66513,31400,4135
29,210332,37200,4985
30,409958,34400,8470
31,397658,36400,8900
32,209611,37200,10165
33,658312,42000,10055
34,376488,37600,8880
35,107246,33600,13620
36,348686,32800,13110
37,181256,37600,9340
38,323892,45200,9135
39,730681,54000,11320
40,429554,46400,8680
41,223697,72000,4435
42,855087,46400,13770
43,151298,34000,8580
44,221694,30400,10490
46,35341,34400,7730
47,439453,34800,14030
48,547194,34400,7545
49,137619,38000,5795
50,279869,34000,8235
52,109145,43200,12940
53,286817,38400,12015
54,123499,37600,9300
55,191477,29400,8700
56,342913,64000,8925
57,258435,38800,6250
58,363158,44400,4960
59,359653,46400,9430
60,126364,46400,4415
61,533448,32400,7830
62,841263,46000,12405
63,544675,61200,12215
64,358841,50000,6745
65,619793,44800,7725
66,11241,46400,5065
67,33404,49200,4365
68,627262,54400,6345
69,533165,38400,4000
70,1264836,48800,17350
71,681341,46800,6860
72,750826,33200,6810
73,1090144,42800,14405
74,484792,33600,10940
78,973170,32400,10580
79,273975,43200,4095
80,688550,43200,8550
81,602330,40400,9500
83,1328336,40800,7025
84,720205,46000,10615
85,440586,35200,12810
86,306857,45600,8815
87,1287353,56400,13540
88,466736,48400,13730
89,130118,60400,5705
90,922300,47200,8700
91,97506,35600,5605
92,271522,41200,7600
94,233870,43600,7340
95,2006173,51600,18730
96,114799,60000,6585
97,1370179,62400,7825
98,2138077,67500,10455
99,623167,58400,9330
100,1021079,55200,7590
101,84639,61600,6070
102,44381,44400,7125
103,338652,67500,7955
105,116946,68000,7890
106,116201,45200,8315
107,167331,37600,11445
108,64355,37200,8285
109,9149,37200,5630
110,160959,33200,5870
111,172416,34400,10745
112,262067,34000,3105
113,205233,34800,9320
114,52137,48800,4165
115,35992,34800,6735
116,193171,29200,9875
118,701065,32800,13270
119,658324,35200,14830
120,266592,36800,14005
121,404881,29400,6080
122,401656,44000,12070
123,379129,38000,8150
124,242426,32000,8175
125,90096,34000,6715
126,607030,33200,12200
128,247559,32000,12430
129,292794,30000,13130
130,535415,28400,10640
133,210934,48800,6855
134,224674,36400,6585
135,204320,34400,8840
136,471928,33200,13595
138,612061,33200,10915
139,303781,32400,7620
140,218345,48000,4845
141,317967,31200,12705
142,521621,32400,13560
143,149868,42000,10670
144,339947,34800,13210
145,148020,31600,8880
146,268221,33200,13145
147,158717,31400,10180
148,267850,31000,10320
149,109242,39200,7255
150,130243,36000,11185
151,91957,36400,11350
152,116314,36800,7510
153,70591,46400,8715
154,305526,33600,10780
155,713669,37600,9955
156,557394,34000,9330
157,371352,33200,5370
158,304082,45600,12600
159,863836,46000,15295
160,428237,45200,10095
161,78073,53200,15450
162,480563,65500,9865
163,95402,64500,16225
164,451323,67000,21345
165,413339,58800,21900
166,1802588,58000,21965
167,1243666,42800,15725
168,939550,45200,12140
169,720543,39600,10415
170,1525153,44000,8620
171,571144,41200,14040
172,557818,38000,7460
173,75249,46000,10870
174,920374,52400,15070
